ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.AddQuarkusMavenPlugin,Add Quarkus Maven plugin,Adds the Quarkus Maven plugin using the same version as the quarkus-bom in dependency management.,5,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.JpaEntityToPanacheEntity,Convert JPA Entity to Panache Entity,"Transforms standard JPA entities to extend Quarkus PanacheEntity, enabling the Active Record pattern with built-in CRUD operations.",1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.RemoveSpringBootParent,Remove Spring Boot 3.x parent POM,Removes the Spring Boot 3.x starter parent POM from Maven projects.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.ResponseEntityToJaxRsResponse,Convert Spring `ResponseEntity` to JAX-RS `Response`,Transforms Spring `ResponseEntity` patterns to JAX-RS `Response` API equivalents.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringApplicationRunToQuarkusRun,Replace `SpringApplication.run()` with `Quarkus.run()`,Replace Spring Boot's `SpringApplication.run()` method calls with Quarkus's `Quarkus.run()`.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBeanToCdiProduces,Replace Spring `@Bean` with CDI `@Produces`,Transform Spring `@Bean` methods to CDI `@Produces` methods with appropriate scope annotations.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringEventListenerToObserves,Convert Spring @EventListener to CDI @Observes,Transforms Spring's @EventListener method annotation to CDI's @Observes parameter annotation pattern.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringHealthIndicatorToQuarkus,Convert Spring HealthIndicator to Quarkus HealthCheck,Transforms Spring Boot Actuator `HealthIndicator` implementations to MicroProfile Health `HealthCheck` pattern used by Quarkus.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.ValueToCdiConfigProperty,Replace Spring `@Value` with CDI `@ConfigProperty`,Transform Spring `@Value` annotations to MicroProfile `@ConfigProperty` with proper parameter mapping.,1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.WebToJaxRs,Convert Spring Web annotations to JAX-RS,"Converts Spring Web annotations such as `@RestController`, `@RequestMapping`, `@GetMapping`, etc., to their JAX-RS equivalents like `@Path`, `@GET`, etc.",1,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.AddSpringCompatibilityExtensions,Add Spring compatibility extensions for commonly used annotations,Adds Quarkus Spring compatibility extensions when Spring annotations are detected in the codebase.,9,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.EnableAnnotationsToQuarkusDependencies,Migrate `@EnableXyz` annotations to Quarkus extensions,Removes Spring `@EnableXyz` annotations and adds the corresponding Quarkus extensions as dependencies.,21,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.MigrateBootStarters,Replace Spring Boot starter dependencies with Quarkus equivalents,"Migrates Spring Boot starter dependencies to their Quarkus equivalents, removing version tags as Quarkus manages versions through its BOM.",227,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootWebToQuarkusReactive,Replace Spring Boot Web with Quarkus REST,Migrates `spring-boot-starter-web` to `quarkus-rest-jackson` when reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootWebToQuarkusClassic,Replace Spring Boot Web with Quarkus RESTEasy Classic,Migrates `spring-boot-starter-web` to `quarkus-resteasy-jackson` when no reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootDataJpaToQuarkus,Replace Spring Boot Data JPA with Quarkus Hibernate ORM Panache,Migrates `spring-boot-starter-data-jpa` to `quarkus-hibernate-orm-panache`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootSecurityToQuarkus,Replace Spring Boot Security with Quarkus Security,Migrates `spring-boot-starter-security` to `quarkus-security`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootValidationToQuarkus,Replace Spring Boot Validation with Quarkus Hibernate Validator,Migrates `spring-boot-starter-validation` to `quarkus-hibernate-validator`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootTestToQuarkus,Replace Spring Boot Test with Quarkus JUnit 5,Migrates `spring-boot-starter-test` to `quarkus-junit5`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootActuatorToQuarkus,Replace Spring Boot Actuator with Quarkus SmallRye Health,Migrates `spring-boot-starter-actuator` to `quarkus-smallrye-health`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootWebSocketToQuarkus,Replace Spring Boot WebSocket with Quarkus WebSockets,Migrates `spring-boot-starter-websocket` to `quarkus-websockets`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootCacheToQuarkus,Replace Spring Boot Cache with Quarkus Cache,Migrates `spring-boot-starter-cache` to `quarkus-cache`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootWebFluxToQuarkusReactive,Replace Spring Boot WebFlux with Quarkus REST Client,Migrates `spring-boot-starter-webflux` to `quarkus-rest-client-jackson` when reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootDataMongoToQuarkus,Replace Spring Boot Data MongoDB with Quarkus MongoDB Panache,Migrates `spring-boot-starter-data-mongodb` to `quarkus-mongodb-panache`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootDataRedisToQuarkus,Replace Spring Boot Data Redis with Quarkus Redis Client,Migrates `spring-boot-starter-data-redis` to `quarkus-redis-client`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootAmqpToQuarkusReactive,Replace Spring Boot AMQP with Quarkus Messaging AMQP,Migrates `spring-boot-starter-amqp` to `quarkus-messaging-amqp` when reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootAmqpToQuarkusClassic,Replace Spring Boot AMQP with Quarkus Messaging RabbitMQ,Migrates `spring-boot-starter-amqp` to `quarkus-messaging-rabbitmq` when no reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringKafkaToQuarkusReactive,Replace Spring Kafka with Quarkus Messaging Kafka,Migrates `spring-kafka` to `quarkus-messaging-kafka` when reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringKafkaToQuarkusClassic,Replace Spring Kafka with Quarkus Kafka Client,Migrates `spring-kafka` to `quarkus-kafka-client` when no reactor dependencies are present.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootOAuth2ResourceServerToQuarkus,Replace Spring Boot OAuth2 Resource Server with Quarkus OIDC,Migrates `spring-boot-starter-oauth2-resource-server` to `quarkus-oidc`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootOAuth2ClientToQuarkus,Replace Spring Boot OAuth2 Client with Quarkus OIDC Client,Migrates spring-boot-starter-oauth2-client` to `quarkus-oidc-client`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootJdbcToQuarkus,Replace Spring Boot JDBC with Quarkus Agroal,Migrates `spring-boot-starter-jdbc` to `quarkus-agroal`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootMailToQuarkus,Replace Spring Boot Mail with Quarkus Mailer,Migrates `spring-boot-starter-mail` to `quarkus-mailer`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootBatchToQuarkus,Replace Spring Boot Batch with Quarkus Scheduler,Migrates `spring-boot-starter-batch` to `quarkus-scheduler`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootThymeleafToQuarkus,Replace Spring Boot Thymeleaf with Quarkus Qute,Migrates `spring-boot-starter-thymeleaf` to `quarkus-qute`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootQuartzToQuarkus,Replace Spring Boot Quartz with Quarkus Quartz,Migrates `spring-boot-starter-quartz` to `quarkus-quartz`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootIntegrationToQuarkus,Replace Spring Boot Integration with Camel Quarkus,Migrates `spring-boot-starter-integration` to `camel-quarkus-core`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootActiveMQToQuarkus,Replace Spring Boot ActiveMQ with Quarkus Artemis JMS,Migrates `spring-boot-starter-activemq` to `quarkus-artemis-jms`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootArtemisToQuarkus,Replace Spring Boot Artemis with Quarkus Artemis JMS,Migrates `spring-boot-starter-artemis` to `quarkus-artemis-jms`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootElasticsearchToQuarkus,Replace Spring Boot Elasticsearch with Quarkus Elasticsearch REST Client,Migrates `spring-boot-starter-data-elasticsearch` to `quarkus-elasticsearch-rest-client`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.SpringBootDataRestToQuarkus,Replace Spring Boot Data REST with Quarkus REST,Migrates `spring-boot-starter-data-rest` to `quarkus-rest-jackson`.,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.MigrateDatabaseDrivers,Migrate database drivers to Quarkus JDBC extensions,Replaces Spring Boot database driver dependencies with their Quarkus JDBC extension equivalents.,79,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
maven,org.openrewrite.recipe:rewrite-spring-to-quarkus,org.openrewrite.quarkus.spring.H2DriverToQuarkus,Replace H2 driver with Quarkus JDBC H2,Migrates `com.h2database:h2` to `io.quarkus:quarkus-jdbc-h2` (excludes test scope).,7,Spring to Quarkus,Quarkus,Recipes to rewrite Spring to Quarkus.,
